"","id","text","secs","nlines","nchars","cps","nchars_longest_line","link","high_cps","long_line","too_many_lines","nfails"
"1",1155,"gli animali riguarda solo il rispetto dei diritti\Ndegli animali non umani essere vegani significa essere contro l'abuso sugli animali\N#nota per i revisori, Paul stava leggendo le slides e si è sbagliato a leggere ha letto ""it is not about justice"" ma nella slides c'era scritto ""it is only about justice""",6.72000000000025,3,245,36.458333333332,132,"https://youtu.be/Jaok_8MNntQ?t=7064",TRUE,TRUE,TRUE,3
"2",1008,"con passione non stiamo parlando di arte\Nnon solo vi ci dedicate con passione questa è\N# REVISORI: qui trovo this is an art we are talking about ma dall'audio mi pare dica this isn't art",4.24000000000069,3,147,34.6698113207491,76,"https://youtu.be/Jaok_8MNntQ?t=6063",TRUE,TRUE,TRUE,3
"3",1095,"Dove posso trovare i nuovi materiali per l'outreach?\NDal tuo organizer, se non ci sono organizer\N# REVISORI: ho tradotto cards con materiali perchè non sapevo se si trattasse di cartoline, brochure o leaflets, ho volutamente lasciato in inglese organizers",6.55999999999949,3,209,31.8597560975634,131,"https://youtu.be/Jaok_8MNntQ?t=6644",TRUE,TRUE,TRUE,3
"4",997,"come convinciamo le persone ad abbandonare una vita di\Nindottrinamenti sugli animali da fattoria?\N# REVISORI: il testo qui in inglese non riflette ciò che dice chi sta facendo la domanda. ho seguito quello che ha detto realmente la persona",6.15999999999985,3,196,31.8181818181826,113,"https://youtu.be/Jaok_8MNntQ?t=5993",TRUE,TRUE,TRUE,3
"5",954,"non vale neanche la pena discutere sulla salute e sull'ambiente.\NProssima domanda. Vorrei sapere che ne pensi della frase ""e anche se fosse tutto vero?""\N# REVISORI: c'è sovrapposizione con la persona che fa la domanda che chiede I just wanted to implore your thoughts on the whole ""even if that where true?"" reply",7.83999999999924,3,248,31.6326530612276,126,"https://youtu.be/Jaok_8MNntQ?t=5757",TRUE,TRUE,TRUE,3
"6",1257,"voglio solo essere sicuro di\Naffrontare ogni argomento per voi, ragazzi, e\N# REVISORI: primo sub di spezzone",2.5600000000004,3,87,33.9843749999947,37,"https://youtu.be/Jaok_8MNntQ?t=7803",TRUE,FALSE,TRUE,2
"7",894,"voi ragazzi probabilmente penserete [ __ ],\Nnon so se posso dirlo alle persone ma\N# REVISORI: primo sub di spezzone",2.64000000000033,3,88,33.3333333333292,32,"https://youtu.be/Jaok_8MNntQ?t=5403",TRUE,FALSE,TRUE,2
"8",1236,"quindi rispondo. ""Cosa significa fare volantinaggio?""\NFare volantinaggio significa dare pezzi di informazione\N# REVISORI: grafia sbagliata nel sub eng: ""Leafleting"" non ""leaf litting""",5.36000000000058,3,149,27.7985074626835,56,"https://youtu.be/Jaok_8MNntQ?t=7666",FALSE,TRUE,TRUE,2
"9",1424,"se ci andassero davvero a nozze, tipo\N""Sì, loro provano emozioni, sì"", e\N# REVISORI: ho tradotto con un senso figurato ""andarci a nozze"" piuttosto che ""andarci a fondo""",5.11999999999898,3,128,25.000000000005,74,"https://youtu.be/Jaok_8MNntQ?t=9005",FALSE,TRUE,TRUE,2
"10",1088,"I vegani sono la minaccia più grande per il movimento per i diritti degli animali, lo dico da tanto tempo e l'ho imparato a mie spese\NGary lo ha detto a me e lo ha detto a tutti, e io non pensavo fosse\N# REVISORI: primo sub di spezzone",7.27999999999975,3,182,25.0000000000009,106,"https://youtu.be/Jaok_8MNntQ?t=6598",FALSE,TRUE,TRUE,2
